customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
31,George Shelton,tracynelson.31@example.com,Iraq,2022-07-17,Standard,1912.25
32,Susan Vargas,,Panama,2020-06-23,Standard,2607.2
33,David Murphy,millerroy.33@example.com,Korea,2020-05-29,Standard,207.82
34,Bradley Smith,matthew64.34@example.com,Mauritius,2026-08-14,Premium,4879.36
35,Tyler Williams,cookemichael.35@example.net,Antarctica (the territory South of 60 deg S),2020-08-02,Standard,1650.37
36,John Wilson,jamessmith.36@example.org,Yemen,2020-06-29,Standard,1770.7
37,Lawrence Adkins,stevenscott.37@example.com,Brazil,2020-03-14,Standard,1161.39
38,Laura Odonnell,tamirodriguez.38@example.org,Honduras,2020-11-19,Basic,22.35
39,Sandra Sanchez,mdavid.39@example.org,Qatar,2023-07-13,Basic,594.88
40,Hannah Patterson,melissa91.40@example.net,Heard Island and McDonald Islands,2025-07-13,Basic,194.34
41,Ashley Yu,huntermatthew.41@example.com,North Macedonia,2024-11-29,Standard,2004.82
42,Tracie Nelson,bzimmerman.42@example.org,Sri Lanka,2023-11-17,Standard,1765.61
43,Samuel Rivas,umarshall.43@example.net,Benin,2020-07-26,Basic,344.67
44,Jamie Johnson,nicole37.44@example.net,Thailand,2025-03-06,Standard,1852.81
45,Spencer Haynes,hunter35.45@example.com,Falkland Islands (Malvinas),2020-03-31,Standard,2146.11
46,Katherine Chang,blackjames.46@example.org,Portugal,2024-03-20,Standard,1802.28
47,Anna Walker,fbrewer.47@example.com,Puerto Rico,2022-09-26,Basic,446.02
48,Hailey Barajas,kevinperkins.48@example.com,Mexico,2025-11-24,Premium,9849.4
49,Bryan Lee,michael74.49@example.com,British Indian Ocean Territory (Chagos Archipelago),2022-01-20,Standard,1404.1
50,Vanessa Warren,jamesrodgers.50@example.com,Finland,2024-04-08,Premium,10837.39
51,Adrian Ferguson,wallkenneth.51@example.com,Falkland Islands (Malvinas),2022-12-10,Standard,1465.82
52,Margaret Mullins,mccannangela.52@example.net,Bosnia and Herzegovina,2023-06-29,Standard,1429.27
53,Vincent King,andrewstaylor.53@example.com,Tokelau,2026-04-11,Standard,789.04
54,Kenneth Parks Jr.,ewilson.54@example.com,Sudan,2024-10-06,Standard,2229.55
55,Lisa Gibbs,christopher31.55@example.net,Czech Republic,2022-10-09,Basic,106.36
56,Wanda Torres,chayes.56@example.com,Niger,2022-12-28,Basic,726.97
57,Deborah Miller,lynchjody.57@example.org,Dominican Republic,2024-09-16,Standard,1949.57
58,Kirk Carter,andreamoore.58@example.com,Djibouti,2022-04-25,Basic,39.12
59,Dennis Moody,jasmine71.59@example.net,Namibia,2021-02-13,Standard,2045.2
60,Derek Thomas,ronaldstephens.60@example.net,Bahamas,2023-02-16,Basic,289.21
61,Jessica Harrison,lauralarson.61@example.net,Gabon,2020-06-15,Premium,18735.77
62,Bobby Williams MD,gbender.62@example.net,Gibraltar,2021-02-18,Standard,2821.01
63,Yvonne Chambers,anthony39.63@example.net,Ethiopia,2022-10-24,Standard,2568.6
64,Sydney White,hinesgregory.64@example.net,Myanmar,2025-04-29,Premium,12221.28
65,Jason Morris,fwalters.65@example.org,Bosnia and Herzegovina,2025-03-23,Standard,2773.7
66,Jennifer Hodges,marksteele.66@example.com,Argentina,2021-09-28,Premium,13696.55
67,Raymond Hancock,qmiller.67@example.com,Sweden,2022-10-27,Standard,2650.36
68,Joseph Dean,sandovalamy.68@example.com,Luxembourg,2021-01-09,Premium,4880.96
69,Tanya Kim,nwolf.69@example.com,Qatar,2025-01-18,Premium,18275.25
70,Michelle Collins,omartinez.70@example.net,American Samoa,2021-08-24,Basic,529.27
71,Maria Moore,hdavis.71@example.com,Venezuela,2025-05-06,Standard,1049.17
72,Mrs. Kristen Reyes,william46.72@example.com,Uruguay,2025-08-18,Basic,798.25
73,Richard Adams,michellehill.73@example.com,Afghanistan,2024-08-09,Standard,2123.28
74,Charles Ryan MD,jessica99.74@example.net,Micronesia,2022-03-17,Premium,18351.49
75,Mrs. Janet Chase,ugibson.75@example.org,Isle of Man,2026-05-16,Standard,215.64
76,Matthew Hoover,floresthomas.76@example.com,Canada,2024-08-02,Standard,1746.55
77,Evelyn Garcia,ihanna.77@example.net,Tanzania,2024-04-26,Premium,14825.59
78,Jennifer Pena,dgarcia.78@example.org,Cape Verde,2025-09-22,Basic,10.99
79,Jennifer Miller,harrisontanya.79@example.com,Greenland,2025-11-22,Standard,2335.17
80,Katherine Weaver,ofinley.80@example.net,Niger,2020-07-08,Basic,521.16
81,Nicole Hamilton MD,younggabrielle.81@example.com,North Macedonia,2025-11-22,Standard,969.33
82,Robert Carter,wallaceheather.82@example.org,Holy See (Vatican City State),2025-02-11,Standard,2129.05
83,Rebecca Jackson,hthomas.83@example.com,Belgium,2021-05-19,Standard,566.52
84,Briana Murray,pharvey.84@example.com,Equatorial Guinea,2022-01-21,Basic,659.23
85,Megan Moore,ascott.85@example.com,Kenya,2025-01-12,Standard,2625.43
86,Ryan Gonzalez,vanessa46.86@example.net,Hungary,2021-06-12,Premium,10738.58
87,Edward Lyons,yrodriguez.87@example.net,Angola,2023-01-09,Premium,11133.96
88,Valerie Lozano,khill.88@example.net,Samoa,2024-08-09,Standard,1325.75
89,Heather Fields,swall.89@example.org,Niger,2024-05-07,Basic,276.27
90,Ellen Alexander,erica21.90@example.net,Mozambique,2026-01-30,Basic,698.32
91,Casey Anderson,jessica14.91@example.com,Mauritius,2020-09-29,Basic,243.9
92,Terry Coffey,alyssa42.92@example.com,French Polynesia,2021-12-21,Basic,322.28
93,Courtney Rhodes,linda71.93@example.org,Peru,2026-08-02,Basic,239.93
94,Richard Smith,zcoffey.94@example.net,Mauritania,2023-10-21,Standard,2038.8
95,James Little,gibsonemily.95@example.net,Holy See (Vatican City State),2021-08-30,Standard,2479.81
96,Kristina Herman,leonardthomas.96@example.net,Cyprus,2021-12-08,Premium,4958.04
97,Jason Taylor,reidsteven.97@example.net,Yemen,2022-04-08,Standard,913.28
98,Joshua Price,torrestravis.98@example.org,Heard Island and McDonald Islands,2023-09-15,Standard,491.5
99,Mary Bass,umatthews.99@example.org,Nicaragua,2021-11-25,Standard,648.52
100,Claudia Wallace,rcrosby.100@example.org,Dominica,2024-02-27,Basic,325.51
101,James Lopez,cory58.101@example.net,British Virgin Islands,2022-12-23,Basic,620.7
102,Tricia Williams,ndavis.102@example.net,Grenada,2024-01-30,Standard,1716.53
103,Phillip Clark,vanessabuchanan.103@example.org,Cuba,2021-01-13,Basic,42.62
104,Scott Thomas,markhernandez.104@example.net,Bulgaria,2024-03-02,Standard,1950.24
105,Richard Young,lauren10.105@example.org,Gibraltar,2026-03-08,Premium,16315.48
106,Brian Brown,thompsonbrian.106@example.net,Kiribati,2020-11-25,Standard,1301.71
107,Luis Acosta,william17.107@example.net,United States of America,2022-03-10,Standard,886.04
108,Jessica Rodriguez,stephen00.108@example.com,Rwanda,2024-08-20,Standard,2339.03
109,Ana Hill,fjones.109@example.com,North Macedonia,2024-02-16,Standard,266.94
110,Larry Garcia,oscar98.110@example.com,Reunion,2024-07-05,Premium,16680.64
111,Cindy Hayes,farrelldebra.111@example.net,Denmark,2023-09-28,Standard,2451.93
112,Brandon Simmons,dmorgan.112@example.com,Papua New Guinea,2024-07-24,Basic,710.39
113,Bradley Reynolds,nicholas27.113@example.org,Samoa,2024-01-28,Premium,3610.64
114,Kristina Santiago,lisa80.114@example.net,Isle of Man,2020-06-29,Standard,501.72
115,Heather Lane,morgan60.115@example.com,Croatia,2025-01-08,Standard,2643.71
116,Justin Wilson,dianewalker.116@example.org,Fiji,2022-12-27,Standard,1530.74
117,Maria Johnson,lindsaybruce.117@example.net,Vanuatu,2020-05-05,Standard,1298.55
118,Christopher Thomas,anthony44.118@example.com,Palestinian Territory,2022-09-25,Premium,12319.28
119,Anna Moreno,vjones.119@example.net,Honduras,2022-11-28,Standard,364.03
120,Frederick Pugh,kchavez.120@example.com,Nepal,2020-07-30,Standard,2002.41
121,Brad Ramos,wareeric.121@example.net,Jamaica,2026-08-29,Standard,2846.23
122,Jose Reed,alawson.122@example.com,Bouvet Island (Bouvetoya),2021-06-27,Standard,2092.02
123,Amber Foster,erika97.123@example.net,Netherlands Antilles,2022-03-18,Standard,1500.7
124,Pamela Roberts,smithkevin.124@example.org,British Indian Ocean Territory (Chagos Archipelago),2022-12-12,Standard,2890.47
125,Michael Mason,jimenezryan.125@example.org,Syrian Arab Republic,2025-07-25,Standard,2127.85
126,Blake Edwards,charles06.126@example.org,Japan,2024-12-19,Standard,359.49
127,Alex Nguyen,amckinney.127@example.com,Spain,2025-02-25,Premium,14060.84
128,Brian Graham,xcollier.128@example.org,Iran,2021-08-01,Standard,367.15
129,Richard Jones,fosterkyle.129@example.com,North Macedonia,2025-08-26,Standard,1060.24
130,Tyler Brewer,schmidtjames.130@example.com,Cameroon,2025-07-19,Premium,13082.3
131,Paige Rios,curtisscott.131@example.org,Christmas Island,2023-02-06,Premium,5881.09
132,Thomas Cunningham,kmarshall.132@example.net,North Macedonia,2023-08-25,Standard,306.93
133,Jeremy Turner,michelle52.133@example.com,Falkland Islands (Malvinas),2020-03-31,Standard,1930.27
134,Anthony Decker,bellcharles.134@example.com,Belarus,2025-01-30,Basic,228.69
135,Tiffany Stevenson,gilbertwilliam.135@example.com,Armenia,2026-06-04,Basic,426.37
136,Larry Mason,kstout.136@example.net,Bahamas,2023-02-27,Basic,208.92
137,Matthew Williams,vgarcia.137@example.net,Russian Federation,2023-08-12,Standard,2122.0
138,Helen Hardin,hritter.138@example.net,Iceland,2023-05-04,Standard,2707.96
139,Mark Cook,rschroeder.139@example.net,Greenland,2020-07-20,Standard,442.38
140,Mary Escobar,grantpaul.140@example.com,Tunisia,2024-02-22,Standard,2401.69
141,Emily Douglas,mathewaguilar.141@example.org,Panama,2024-10-27,Standard,637.07
142,James Conner,tanderson.142@example.org,Suriname,2026-03-16,Standard,1122.35
143,Susan Davis DDS,elizabethcalderon.143@example.net,Malawi,2026-03-20,Premium,8432.58
144,Ralph Lee,andrew42.144@example.org,Burundi,2023-04-16,Standard,777.67
145,Kimberly Rodgers,chrisrichard.145@example.org,Malta,2026-05-30,Premium,3354.22
146,James Martin,stanleynancy.146@example.net,Switzerland,2023-07-14,Premium,15832.76
147,Cynthia Wallace,jenniferwilliams.147@example.com,Finland,2024-04-16,Basic,634.9
148,Rachel Mckee,pyoung.148@example.com,Congo,2024-01-10,Premium,19943.0
149,Paula Shaw,erika97.149@example.com,Italy,2026-09-04,Standard,2816.89
150,Amy Castillo,lisasolis.150@example.org,Holy See (Vatican City State),2024-12-06,Basic,347.71
151,Phillip Nelson,dawsonzachary.151@example.org,United Kingdom,2020-10-20,Standard,573.49
152,Stacey Arias,mariahdavis.152@example.org,Israel,2020-06-24,Standard,229.96
153,Jade Johnson DVM,sandersnathaniel.153@example.com,Taiwan,2022-09-27,Standard,1688.25
154,Kaitlyn Guerra,lacey20.154@example.com,Senegal,2023-06-13,Standard,2609.59
155,Daniel Hernandez,awest.155@example.org,Wallis and Futuna,2024-06-20,Standard,950.13
156,Anthony Barnes,srodriguez.156@example.org,South Africa,2023-03-22,Basic,159.15
157,Lynn Andrews,fbrown.157@example.net,Saint Barthelemy,2023-06-10,Basic,351.16
158,Jason Beck,kellysmith.158@example.com,Belize,2026-02-28,Basic,714.83
159,Katie Smith,carlos88.159@example.net,Tunisia,2022-03-28,Basic,361.34
160,Alan Kramer,ywilliams.160@example.com,Guatemala,2023-04-20,Standard,2223.6
161,Evelyn Williams,jessicafuller.161@example.net,Mayotte,2023-09-23,Basic,370.02
162,Clarence Taylor,lisa27.162@example.net,Saint Barthelemy,2023-02-17,Standard,1244.28
163,Stacey Stewart,mjohnson.163@example.org,Georgia,2026-06-22,Standard,1434.55
164,Paul Lee,ihays.164@example.com,Guinea-Bissau,2026-06-07,Basic,614.72
165,Jessica Ross,glennmartin.165@example.org,Kazakhstan,2023-06-07,Basic,603.52
166,Holly Salinas,lmorgan.166@example.com,Ethiopia,2023-01-05,Basic,345.41
167,Catherine Carter MD,acostachristian.167@example.net,Greece,2023-12-09,Standard,949.33
168,Heather Williams,kirk96.168@example.org,Trinidad and Tobago,2021-03-17,Standard,589.56
169,Theresa Jones,christina64.169@example.net,Northern Mariana Islands,2022-11-06,Standard,203.84
170,Tiffany Thomas,zcox.170@example.net,New Caledonia,2021-06-13,Standard,517.12
171,Holly Reyes,ejohnson.171@example.org,Montenegro,2020-12-17,Basic,131.72
172,Phillip Berry,,Marshall Islands,2020-08-20,Basic,551.95
173,Cody Holmes,raymond43.173@example.org,United States Minor Outlying Islands,2023-12-04,Standard,2490.16
174,Logan Benson,greenjorge.174@example.com,Liechtenstein,2020-01-02,Standard,2263.45
175,Micheal Osborn,davidfarrell.175@example.com,Sudan,2024-04-26,Standard,2225.05
176,Elijah Moore,elizabeth18.176@example.net,Russian Federation,2022-11-20,Premium,19897.77
177,Dr. Cynthia Snyder,laurahicks.177@example.org,Guyana,2022-06-13,Standard,2895.27
178,Ana Sanders,tanner82.178@example.net,Saint Barthelemy,2025-02-21,Basic,215.08
179,Angela Compton,xfox.179@example.com,Norway,2023-08-08,Standard,606.28
180,Ronald Arnold,coleerin.180@example.com,Namibia,2024-11-26,Basic,122.64
181,Amy Martinez,katrinaanderson.181@example.net,Cape Verde,2024-09-28,Standard,2707.7
182,Kelly Campbell,fred53.182@example.com,Belgium,2020-03-19,Basic,81.88
183,Lisa Davis,james84.183@example.org,Norway,2021-06-10,Standard,1152.4
184,Michelle Jacobs,brittanycarpenter.184@example.org,Tajikistan,2023-10-23,Standard,1684.97
185,Patricia Baker,bryananthony.185@example.org,Cote d'Ivoire,2026-07-10,Standard,1917.66
186,Kimberly May,bmontgomery.186@example.com,Gabon,2021-01-11,Basic,476.59
187,Jesse Barker,zsanchez.187@example.net,Cayman Islands,2020-09-14,Basic,629.13
188,Charles Hensley,dperry.188@example.org,Ghana,2026-04-17,Standard,1800.74
189,Emma Owens,theresa25.189@example.net,Ethiopia,2026-06-18,Premium,17318.84
190,James Gilbert,gwright.190@example.org,Egypt,2021-02-12,Standard,436.96
191,Phillip Jimenez,lisapeck.191@example.net,Malaysia,2022-09-07,Basic,687.17
192,Tony Wagner,tjimenez.192@example.com,Dominican Republic,2024-03-10,Standard,1852.01
193,Stephen Pena MD,brandywilliams.193@example.com,Mauritania,2021-04-21,Standard,824.21
194,Pamela Diaz,booneryan.194@example.com,Iran,2022-03-07,Standard,2937.68
195,James Cole,hudsonjames.195@example.net,Mexico,2022-08-23,Standard,2831.26
196,Brent Brooks,marcia99.196@example.org,Guadeloupe,2024-04-15,Basic,676.58
197,Andrew Williams,kari39.197@example.net,Rwanda,2022-01-22,Basic,729.28
198,Kaylee Murphy,linda87.198@example.org,New Zealand,2022-10-03,Basic,305.71
199,Ronald Patel,francisco94.199@example.net,Russian Federation,2021-12-08,Basic,182.24
200,Veronica Silva,thomas05.200@example.com,South Africa,2025-01-29,Basic,146.32
201,Paula Lane,carlsonjoseph.201@example.net,Saint Helena,2021-01-08,Standard,2646.53
202,Patricia James,silvageorge.202@example.net,Swaziland,2021-07-17,Basic,661.31
203,Jeremy Barnes,anthonyvaughan.203@example.org,Isle of Man,2021-09-02,Premium,19656.89
204,Nancy Brown,roberthampton.204@example.com,Burundi,2026-01-20,Standard,2575.11
205,Emily Thompson,annbolton.205@example.com,United States Minor Outlying Islands,2026-04-25,Basic,505.89
206,David Grant,amy49.206@example.com,Czech Republic,2023-05-06,Standard,598.39
207,Justin Michael,kellie37.207@example.com,Saint Helena,2021-01-16,Standard,661.57
208,Jennifer Reed,,Sierra Leone,2025-01-20,Standard,1526.36
209,Thomas Douglas,kellyroberts.209@example.net,San Marino,2023-04-16,Standard,2349.83
210,Melissa Taylor,ilewis.210@example.com,Nicaragua,2025-09-06,Basic,138.62
211,David Garcia,johnsantiago.211@example.net,Greenland,2022-05-29,Standard,2763.45
212,Joshua Hickman,xgarcia.212@example.org,Ireland,2026-09-05,Premium,14308.23
213,Matthew Velez,mwoods.213@example.com,Benin,2025-05-24,Standard,1074.47
214,Carrie Khan,amandasharp.214@example.org,Christmas Island,2021-06-30,Standard,2680.13
215,Paul Brennan,osbornrandy.215@example.com,French Guiana,2024-11-06,Premium,12775.35
216,Frances Gibson,smithashley.216@example.org,Norway,2021-12-01,Standard,2252.84
217,Corey Rodriguez,ismall.217@example.net,Central African Republic,2022-05-04,Standard,1279.24
218,George Phillips,twong.218@example.org,Peru,2021-09-03,Premium,9083.91
219,Kaylee Miller,gregorychase.219@example.com,Paraguay,2024-07-23,Standard,235.33
220,Adriana Reyes,lopezdonald.220@example.com,Kiribati,2021-10-03,Standard,1706.13
221,Deborah Ward,stephanie49.221@example.net,Dominica,2024-04-08,Basic,608.64
222,Jonathan Jacobson,contrerassteven.222@example.org,Romania,2023-11-23,Standard,2912.71
223,Tyler Mendoza,hannah45.223@example.net,Korea,2025-01-07,Standard,2698.24
224,Samantha Gill,robert87.224@example.net,Pitcairn Islands,2026-08-23,Basic,69.59
225,Justin Brown,foxallison.225@example.com,Mexico,2020-01-22,Standard,2945.46
226,Jessica Frazier,ashleyhernandez.226@example.com,Saint Barthelemy,2026-08-15,Premium,4690.65
227,Jody Palmer,gdavis.227@example.com,Korea,2020-09-24,Basic,32.89
228,Jennifer Velasquez,hansenemily.228@example.com,Samoa,2023-07-10,Premium,15480.74
229,Kimberly Brown,bethwilliams.229@example.com,Uganda,2022-04-12,Basic,724.71
230,Randy Cannon,andersenthomas.230@example.com,Saint Lucia,2024-04-09,Basic,759.83
231,Susan Bennett,ybrooks.231@example.com,Pitcairn Islands,2024-10-28,Basic,659.98
232,Jenna Anderson DVM,desireebailey.232@example.org,Syrian Arab Republic,2025-10-01,Basic,163.92
233,Kimberly Patel,avilatiffany.233@example.com,Swaziland,2022-09-08,Standard,631.21
234,Shaun Cannon,johnreed.234@example.com,Antigua and Barbuda,2026-03-28,Basic,47.17
235,Brian Johnson,bmendez.235@example.org,Netherlands Antilles,2022-02-26,Standard,1829.51
236,Daniel Shields,sanchezbradley.236@example.com,Azerbaijan,2021-05-12,Standard,1564.22
237,Laura Barton,williamroberts.237@example.net,Svalbard & Jan Mayen Islands,2022-07-14,Standard,505.99
238,Donald Hawkins,joel28.238@example.org,Nauru,2023-07-14,Premium,10366.89
239,Gregory Schneider,conniesimmons.239@example.com,Hong Kong,2024-06-19,Premium,12211.82
240,Paul Wells,heather62.240@example.com,Thailand,2025-07-26,Premium,15013.18
241,Kristina Faulkner,kevinzimmerman.241@example.com,Moldova,2021-07-03,Premium,9455.56
242,Tammy Boone,paulscott.242@example.com,Bermuda,2022-01-10,Standard,1091.39
243,Shelly Lopez,brettbennett.243@example.net,Senegal,2026-04-11,Basic,532.54
244,Terry Lewis,timothybooth.244@example.com,Comoros,2022-12-10,Standard,2115.83
245,Michele Sanders,burgesskaren.245@example.org,Dominican Republic,2021-08-12,Basic,216.34
246,Elizabeth Ward,kimberly67.246@example.net,Turkmenistan,2026-08-03,Basic,15.86
247,Ryan Rocha,zowens.247@example.net,Heard Island and McDonald Islands,2023-01-01,Basic,756.55
248,Dean Donovan,robert93.248@example.net,Mozambique,2026-08-02,Standard,2314.8
249,Kelly Sanchez,mphillips.249@example.com,Mexico,2026-02-22,Basic,160.88
250,Robert Jackson,jonathan77.250@example.com,Saint Helena,2026-01-21,Basic,452.53
251,Kelly Combs,iwhite.251@example.net,Belarus,2023-11-21,Basic,475.96
252,Michael Smith,duranrobert.252@example.net,Madagascar,2025-05-03,Basic,100.79
253,Lisa Webb,nbrooks.253@example.net,Libyan Arab Jamahiriya,2026-06-03,Standard,736.64
254,Nathan Nichols,smithandrea.254@example.org,France,2021-10-19,Standard,2878.78
255,Susan Rodriguez,shawheidi.255@example.com,Bhutan,2020-04-02,Basic,406.41
256,Debra Sanders,johnharvey.256@example.com,Holy See (Vatican City State),2022-02-22,Standard,736.04
257,Michael Abbott,pstevens.257@example.net,Palau,2024-04-04,Basic,638.06
258,Mark Warner,davisnicholas.258@example.net,Belize,2023-08-29,Premium,10470.32
259,Shannon Davis,pbruce.259@example.com,Marshall Islands,2020-07-15,Premium,13491.42
260,Karen Williams,hallrachel.260@example.net,Belarus,2023-10-01,Standard,1033.0
261,Emily Ali,rachel90.261@example.org,Namibia,2021-03-01,Premium,3042.27
262,Elizabeth Elliott,karenmarquez.262@example.com,Montenegro,2023-05-19,Basic,131.96
263,Patrick Gibbs,irhodes.263@example.com,Portugal,2023-11-06,Premium,19514.66
264,David Jones,masonterri.264@example.org,Netherlands,2024-04-03,Basic,498.87
265,Rachel Hayes,unovak.265@example.org,Denmark,2022-10-04,Standard,2527.04
266,Mary Miller,angela66.266@example.org,Niger,2022-09-24,Basic,17.22
267,Michael Walters,lauren11.267@example.com,Saint Vincent and the Grenadines,2024-07-15,Standard,2343.3
268,Eric Ward,gstewart.268@example.org,Faroe Islands,2025-01-03,Premium,10729.14
269,Kayla Garcia,andersonjacob.269@example.com,Benin,2025-05-26,Premium,13975.54
270,Alexandria Gutierrez,angela99.270@example.com,Slovakia (Slovak Republic),2022-03-25,Standard,1202.97
271,Carolyn James,hardyanita.271@example.org,Burundi,2022-11-01,Basic,496.7
272,Donald Evans,kevin72.272@example.org,Slovenia,2022-03-18,Basic,28.5
273,Linda Gonzalez,wardsheryl.273@example.net,Botswana,2023-07-12,Standard,327.65
274,Jamie Atkins,kevinrush.274@example.com,Kazakhstan,2020-11-06,Standard,2436.74
275,Travis Harris,ryan92.275@example.com,Germany,2022-11-16,Premium,4240.37
276,Mackenzie Faulkner,tamaranovak.276@example.com,Slovenia,2021-04-05,Standard,239.16
277,Timothy Gonzalez,markramirez.277@example.com,Mayotte,2023-07-24,Standard,2754.88
278,Michael Gonzales,erinpierce.278@example.net,French Guiana,2025-09-07,Standard,943.49
279,Brenda Turner,fuenteslaura.279@example.com,El Salvador,2026-08-03,Standard,1830.67
280,Kyle Aguilar,jennifermccormick.280@example.org,Martinique,2022-12-25,Basic,671.13
281,Robin Wheeler,ystephens.281@example.com,United States Virgin Islands,2020-05-17,Premium,15426.33
282,Matthew Williams,rodriguezjohn.282@example.net,Oman,2021-07-10,Standard,330.56
283,Brett Walker,vrasmussen.283@example.com,San Marino,2020-09-12,Standard,1770.66
284,Kathryn Cooper,seanmyers.284@example.net,Anguilla,2025-01-28,Premium,11752.36
285,Todd Thomas,agarcia.285@example.org,Georgia,2026-08-01,Premium,8301.44
286,Brent Bowen,stanley38.286@example.com,Korea,2023-09-14,Standard,2309.98
287,Maria Byrd,carlos01.287@example.org,Chad,2021-03-07,Premium,19352.1
288,Tina Hall,zacharyarnold.288@example.com,Iraq,2020-02-21,Basic,117.75
289,Lucas Gonzalez,jacobsandoval.289@example.com,Nauru,2026-07-11,Basic,116.18
290,Paul Stokes,tprice.290@example.org,Bahrain,2022-02-11,Basic,587.79
291,Jim Baker,lloydamanda.291@example.com,Tokelau,2020-09-30,Standard,1472.37
292,Lisa Matthews,orose.292@example.com,Guernsey,2021-03-08,Premium,16313.94
293,Elizabeth Mendez,megan92.293@example.net,Belize,2021-09-15,Premium,4539.4
294,Michael Dixon,,Italy,2024-05-20,Standard,311.6
295,Melissa Brewer,baileyhenderson.295@example.com,China,2025-12-17,Basic,558.35
296,Lisa Glenn,tracytaylor.296@example.com,Zambia,2021-11-02,Basic,795.77
297,Kathy Simpson,washingtonjames.297@example.com,Poland,2024-08-05,Standard,465.43
298,Keith Flynn,cperry.298@example.com,Cyprus,2020-06-07,Standard,2620.15
299,Jim Newton,antonio38.299@example.com,Seychelles,2020-01-25,Standard,1278.81
300,Reginald Morrow,hdunn.300@example.net,Haiti,2020-05-14,Standard,247.01
301,Ashley Greer PhD,wolfscott.301@example.org,French Southern Territories,2026-03-04,Basic,408.02
302,Xavier Rowe,colemichael.302@example.org,Dominica,2023-11-21,Standard,980.79
303,Lisa Patterson,lisamatthews.303@example.com,Nicaragua,2025-05-20,Standard,2141.53
304,Kim Carlson,kristenli.304@example.org,Chile,2020-02-23,Standard,1005.93
305,Scott Duke,tiffany44.305@example.net,Philippines,2020-02-24,Premium,10670.6
306,Wendy Camacho,taylorkaren.306@example.com,Brunei Darussalam,2025-09-03,Standard,761.58
307,Megan Burns,johndawson.307@example.org,Morocco,2020-09-07,Basic,662.48
308,Sheryl Davis,courtney67.308@example.org,Malaysia,2021-01-14,Premium,18657.77
309,Aaron Schroeder,heather57.309@example.com,Saint Martin,2023-06-21,Standard,1329.34
310,Sarah Flynn,simonstephen.310@example.net,Indonesia,2024-01-21,Standard,1456.86
311,Ronald Morgan,tammysummers.311@example.com,Morocco,2021-07-12,Premium,19688.31
312,Pamela Williams,ashleewashington.312@example.com,Niue,2022-12-21,Premium,4558.08
313,William Patterson,ksmith.313@example.com,Portugal,2024-07-06,Standard,2464.13
314,Isaac Miller,nicoleturner.314@example.com,Papua New Guinea,2022-12-17,Premium,12211.01
